PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS_per_min,AST_per_min,STL_per_min,BLK_per_min,TREB_per_min,TOV_per_min,FG_PCT,PLUS_MINUS_per_min,CLUTCH_SCORE
Aaron Gordon,DEN,4.4,0.47727272727272724,0.11363636363636363,0.022727272727272728,0.0,0.1590909090909091,0.0,0.526,0.47727272727272724,0.2804409090909091
Aaron Nesmith,IND,3.8,0.4210526315789474,0.026315789473684213,0.026315789473684213,0.0,0.15789473684210525,0.0,0.385,0.2894736842105263,0.2220526315789474
Alec Burks,MIA,3.8,0.4210526315789474,0.0,0.0,0.0,0.21052631578947367,0.052631578947368425,0.667,-0.3684210526315789,0.18512105263157896
Alperen Sengun,HOU,3.0,0.7666666666666666,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.3,0.06666666666666667,0.456,0.6333333333333333,0.39893333333333336
Andrew Nembhard,IND,4.3,0.3488372093023256,0.0930232558139535,0.0,0.0,0.16279069767441862,0.06976744186046512,0.375,0.3255813953488372,0.2049418604651163
Andrew Wiggins,MIA,3.0,0.5,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.395,-0.03333333333333333,0.212
Anfernee Simons,POR,3.2,1.0,0.125,0.0,0.0,0.0625,0.0625,0.451,-0.125,0.35135
Anthony Black,ORL,3.6,0.2777777777777778,0.02777777777777778,0.02777777777777778,0.02777777777777778,0.16666666666666669,0.02777777777777778,0.385,-0.02777777777777778,0.14961111111111114
Anthony Davis,DAL,3.0,0.6666666666666666,0.09999999999999999,0.0,0.06666666666666667,0.2333333333333333,0.06666666666666667,0.538,-0.13333333333333333,0.28713333333333335
Anthony Edwards,MIN,3.8,0.9736842105263159,0.07894736842105263,0.026315789473684213,0.026315789473684213,0.2894736842105263,0.10526315789473685,0.426,-0.3157894736842105,0.35312631578947373
Bam Adebayo,MIA,4.7,0.46808510638297873,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.23404255319148937,0.0425531914893617,0.52,-0.3191489361702127,0.20838297872340428
Ben Simmons,LAC,3.2,0.15625,0.15625,0.03125,0.03125,0.28125,0.0,0.667,0.5937499999999999,0.23545
Bennedict Mathurin,IND,3.4,0.7941176470588236,0.029411764705882356,0.029411764705882356,0.0,0.17647058823529413,0.08823529411764706,0.568,0.5882352941176471,0.38106470588235297
Bobby Portis,MIL,3.2,0.28125,0.0,0.0625,0.03125,0.21874999999999997,0.0,0.313,-0.125,0.14301874999999997
Bradley Beal,PHX,3.9,0.4358974358974359,0.05128205128205129,0.025641025641025644,0.0,0.20512820512820515,0.025641025641025644,0.333,-0.33333333333333337,0.167274358974359
Brandon Ingram,TOR,4.0,0.6,0.15,0.0,0.0,0.125,0.1,0.5,0.325,0.29125
Brandon Miller,CHA,4.6,0.6304347826086957,0.06521739130434782,0.06521739130434782,0.02173913043478261,0.2391304347826087,0.08695652173913045,0.429,-0.10869565217391305,0.2657260869565217
Brice Sensabaugh,UTA,3.5,0.34285714285714286,0.08571428571428572,0.028571428571428574,0.0,0.1142857142857143,0.05714285714285715,0.353,-0.6857142857142857,0.09458571428571429
Brook Lopez,MIL,3.4,0.4411764705882353,0.029411764705882356,0.029411764705882356,0.05882352941176471,0.17647058823529413,0.029411764705882356,0.5,0.11764705882352942,0.22867647058823531
Bub Carrington,WAS,3.2,0.34375,0.18749999999999997,0.03125,0.03125,0.03125,0.0625,0.389,-0.18749999999999997,0.148275
CJ McCollum,NOP,4.1,0.7560975609756099,0.07317073170731708,0.0,0.02439024390243903,0.14634146341463417,0.02439024390243903,0.446,0.26829268292682934,0.3281365853658538
Caleb Martin,DAL,4.4,0.15909090909090906,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.18181818181818182,0.022727272727272728,0.3,-0.15909090909090906,0.09590909090909092
Cam Thomas,BKN,3.8,0.631578947368421,0.026315789473684213,0.026315789473684213,0.0,0.10526315789473685,0.07894736842105263,0.364,-0.7105263157894738,0.17126842105263157
Cameron Johnson,BKN,3.4,0.6470588235294118,0.029411764705882356,0.029411764705882356,0.029411764705882356,0.11764705882352942,0.05882352941176471,0.5,-0.35294117647058826,0.23088235294117646
Caris LeVert,ATL,3.1,0.3870967741935484,0.06451612903225806,0.0,0.0,0.16129032258064516,0.03225806451612903,0.643,0.9032258064516128,0.29978387096774195
